project_key,nk_company_id,nk_project_id,nk_org_id,nk_employee_id,nk_level_number,project_type,project_name,project_long_name,billable_project_flag,active_flag,project_classification,project_end_date,project_start_date,account_group_code,time_collection_project_flag,revenue_formula_code,revenue_formula_description,bill_info_flag,project_total_value,project_level2_value,proj_link_name,proj_link_cust_id,customer_name,supervisor_id,supervisor_name,pm_id,project_manager,project_classification_type,project_linked_project_name,linked_project_contract_value,billing_currency_cd,contract_value_usd,row_is_current,Client Go Live,Complexity,Country,City,Project Status,Risk Metric
PRJ2022-601,COMP43736,PROJ3866,ORG97610,,LVL2,Software Development,Database Migration,,,,Small Business,,11/05/2022,ACC434,SUP2787,,,,,,,,"Leonard, Walker and Griffin",SUP8591,David Miller,PM3507,Jonathan Mcgee,,,,,26586,,,Medium,USA,North Lisaton,Completed,Low
PRJ2024-199,COMP50179,PROJ5660,ORG40923,,LVL3,Software Development,Managed Helpdesk Services,,,,Small Business,04/01/2024,14/10/2023,ACC161,SUP9342,,,,,,,,"Romero, Spence and Chandler",SUP9088,Shane Robinson,PM5560,Elizabeth Hernandez,,,,,37903,,12/01/2024,Medium,Spain,Alexandrashire,In Progress,High
PRJ2028-782,COMP10188,PROJ3093,ORG95559,,LVL3,Software Development,E-commerce Platform Integration,,,,Small Business,17/09/2023,25/01/2022,ACC687,SUP8075,,,,,,,,Hunter LLC,SUP1409,Jennifer Crawford,PM9101,Charles Collins,,,,,19199,,30/09/2023,Low,USA,Campbellside,In Progress,Medium
PRJ2021-748,COMP33344,PROJ2736,ORG11828,,LVL1,IT Infrastructure,Mobile App Development,,,,Small Business,08/03/2024,20/12/2021,ACC825,SUP8760,,,,,,,,Solomon LLC,SUP7067,Nicholas Rodriguez,PM5157,Jonathan Raymond,,,,,44851,,09/03/2024,Low,Japan,North Chrisshire,Completed,Low
PRJ2025-306,COMP63944,PROJ8547,ORG34759,,LVL2,Software Development,Data Analytics Platform Implementation,,,,Small Business,,25/07/2021,ACC781,SUP7289,,,,,,,,Hall Inc,SUP9065,Yesenia Smith,PM3383,David Aguilar,,,,,45983,,,High,Japan,Lake Thomasshire,In Progress,Medium
PRJ2028-230,COMP85115,PROJ1342,ORG97816,,LVL2,IT Infrastructure,Data Analytics Platform Implementation,,,,Enterprise,09/02/2023,25/10/2021,ACC962,SUP6558,,,,,,,,White-Bell,SUP9444,Michael Bates,PM2855,Michael Reynolds,,,,,26346,,17/02/2023,High,Germany,Williamstown,Completed,Low
PRJ2023-193,COMP61752,PROJ7903,ORG17205,,LVL1,IT Consulting,E-commerce Platform Integration,,,,Enterprise,31/05/2021,26/03/2021,ACC546,SUP6352,,,,,,,,"Gonzalez, Martinez and Banks",SUP1866,Zachary Vazquez,PM5326,Casey Wolf,,,,,10164,,13/06/2021,Low,Japan,Milesberg,Completed,High
PRJ2024-627,COMP54855,PROJ1727,ORG16686,,LVL3,IT Consulting,Mobile App Development,,,,Enterprise,14/02/2027,27/10/2024,ACC226,SUP2712,,,,,,,,"Ferrell, Fritz and Alvarez",SUP8770,Marie Jordan,PM9384,David Turner,,,,,23123,,15/03/2027,High,Germany,East Marissahaven,In Progress,Low
PRJ2021-247,COMP29413,PROJ7661,ORG59023,,LVL1,IT Consulting,Network Troubleshooting & Support,,,,Enterprise,,18/12/2024,ACC775,SUP8069,,,,,,,,"Diaz, Lane and Hensley",SUP5475,Lisa Johnson,PM2655,Thomas Garrison,,,,,11509,,,High,Spain,Stevensmouth,In Progress,High
PRJ2027-677,COMP63441,PROJ3112,ORG42937,,LVL2,IT Infrastructure,Database Migration,,,,Small Business,04/11/2023,06/12/2021,ACC294,SUP4929,,,,,,,,Scott and Sons,SUP9123,Sarah Francis,PM2429,Logan Estrada Jr.,,,,,35548,,19/11/2023,Low,USA,Stephenborough,In Progress,Low
PRJ2024-631,COMP82773,PROJ2633,ORG47732,,LVL2,IT Consulting,Client Portal Revamp,,,,Small Business,08/01/2023,12/02/2021,ACC931,SUP6248,,,,,,,,Beck PLC,SUP6752,Sarah Alvarez,PM2442,Corey Cervantes,,,,,44668,,30/01/2023,Medium,Germany,North Debbiechester,In Progress,Low
PRJ2025-772,COMP46666,PROJ4272,ORG54464,,LVL3,Software Development,Web Application Development,,,,Enterprise,19/07/2025,29/11/2022,ACC714,SUP3129,,,,,,,,Rodriguez-Bailey,SUP3971,Jason Ferrell,PM7849,Donna Nelson,,,,,44897,,11/08/2025,Medium,Brazil,Brianmouth,Completed,High
PRJ2022-312,COMP61145,PROJ5669,ORG49981,,LVL2,Software Development,Client Portal Revamp,,,,Small Business,14/12/2022,30/12/2022,ACC357,SUP7684,,,,,,,,Estrada-Zhang,SUP2091,Laura Lee,PM8728,Ryan Pena,,,,,29482,,10/01/2023,Low,UK,West Stephanietown,In Progress,High
PRJ2024-450,COMP26859,PROJ2456,ORG59824,,LVL1,IT Infrastructure,CRM Implementation,,,,Enterprise,02/10/2024,11/01/2022,ACC409,SUP7140,,,,,,,,Wood-Hall,SUP4926,Lisa Cervantes,PM4993,Kathy Rodriguez,,,,,30970,,04/10/2024,Medium,USA,North Wendy,Completed,High
PRJ2026-925,COMP93393,PROJ4778,ORG49199,,LVL3,Software Development,Cloud Security Optimization,,,,Enterprise,,08/10/2022,ACC637,SUP5983,,,,,,,,Reed Ltd,SUP2608,Alicia Harris,PM5389,Jessica Jordan,,,,,22629,,,High,Germany,Millerchester,In Progress,Medium
PRJ2023-749,COMP58748,PROJ2292,ORG95627,,LVL2,IT Infrastructure,Client Portal Revamp,,,,Enterprise,09/07/2025,05/01/2023,ACC701,SUP4293,,,,,,,,Barrett-Howard,SUP3369,David Hunt,PM6626,Corey Kelley,,,,,31032,,07/08/2025,High,Italy,North Adamhaven,In Progress,High
PRJ2023-731,COMP92904,PROJ3844,ORG36947,,LVL1,Software Development,E-commerce Platform Integration,,,,Small Business,06/11/2023,28/09/2023,ACC794,SUP6306,,,,,,,,"Hicks, Hamilton and Khan",SUP8007,Robert House,PM4396,Mary Proctor,,,,,13921,,17/11/2023,Low,France,Jenniferhaven,Completed,High
PRJ2026-579,COMP39119,PROJ7231,ORG94940,,LVL2,IT Infrastructure,Mobile App Development,,,,Enterprise,23/08/2024,23/10/2023,ACC537,SUP9757,,,,,,,,"Byrd, Wagner and Massey",SUP1652,Dennis Fields,PM4581,Joseph Snow,,,,,22919,,23/08/2024,High,Australia,Jamesland,Completed,Low
PRJ2025-140,COMP75202,PROJ9576,ORG80757,,LVL2,Software Development,Mobile App Development,,,,Small Business,,14/01/2024,ACC566,SUP1283,,,,,,,,Schmidt Group,SUP7584,Latasha Douglas,PM2958,Veronica Bennett,,,,,43109,,,Low,Canada,Port Angelaview,Completed,Medium
PRJ2026-898,COMP85173,PROJ9082,ORG94871,,LVL1,IT Consulting,Database Migration,,,,Small Business,21/07/2025,28/11/2022,ACC739,SUP4413,,,,,,,,"Gordon, Mccarthy and Mullen",SUP9544,Anthony Stone,PM9869,Maria White,,,,,14401,,14/08/2025,High,France,Lake Patrickville,Completed,Medium
PRJ2025-579,COMP10184,PROJ8380,ORG62083,,LVL3,IT Consulting,IT Audit and Compliance,,,,Enterprise,,10/01/2023,ACC803,SUP8003,,,,,,,,Jones PLC,SUP2088,Aaron Welch,PM7593,Paula Chambers,,,,,16956,,,High,Germany,East Josephberg,In Progress,Low
PRJ2028-757,COMP79134,PROJ7329,ORG71485,,LVL3,IT Infrastructure,Infrastructure Upgrade,,,,Enterprise,,19/01/2024,ACC214,SUP4295,,,,,,,,Morrison PLC,SUP5903,Lauren Rice,PM5517,Gabriela Smith,,,,,45675,,,Low,Australia,Marthaview,Completed,Medium
PRJ2027-818,COMP13621,PROJ8790,ORG25690,,LVL1,IT Infrastructure,E-commerce Platform Integration,,,,Enterprise,05/05/2022,31/05/2022,ACC762,SUP5682,,,,,,,,Snyder PLC,SUP8913,Zachary Palmer,PM5509,Tracy Reeves,,,,,26513,,22/05/2022,High,Japan,Lindsayfurt,In Progress,Medium
PRJ2027-725,COMP25560,PROJ5998,ORG69317,,LVL2,Software Development,Cloud Security Optimization,,,,Enterprise,09/04/2024,10/05/2023,ACC265,SUP2561,,,,,,,,Durham LLC,SUP6442,Caroline Duffy,PM6542,Theresa Acevedo,,,,,40854,,01/05/2024,Low,Italy,Hayesfort,In Progress,Low
PRJ2028-456,COMP11988,PROJ1965,ORG73163,,LVL3,IT Infrastructure,Database Migration,,,,Small Business,03/06/2021,24/04/2021,ACC921,SUP2697,,,,,,,,Peterson PLC,SUP9955,Pamela Christian,PM2350,Manuel Stevenson,,,,,45218,,04/06/2021,High,USA,Port Makaylaview,In Progress,Low
PRJ2021-914,COMP68016,PROJ5325,ORG66360,,LVL2,Software Development,Data Analytics Platform Implementation,,,,Enterprise,17/02/2022,01/08/2021,ACC472,SUP1333,,,,,,,,Santiago PLC,SUP3225,Matthew Smith,PM3669,Tammy Hardy,,,,,31564,,14/03/2022,Low,Germany,Michaelmouth,In Progress,Low
PRJ2028-631,COMP32492,PROJ1613,ORG12668,,LVL1,IT Consulting,Mobile App Development,,,,Enterprise,,25/02/2022,ACC819,SUP8110,,,,,,,,Lee PLC,SUP1695,Eduardo Reed,PM4733,Betty Ponce,,,,,18350,,,Low,Canada,East Emilytown,Completed,Medium
PRJ2022-199,COMP58211,PROJ2515,ORG54027,,LVL2,IT Infrastructure,Cloud Security Optimization,,,,Small Business,05/12/2025,02/11/2023,ACC408,SUP7125,,,,,,,,Adams-Parker,SUP7384,Sara Anderson,PM8152,David Kirby,,,,,10890,,29/12/2025,Low,Australia,East Carolyn,In Progress,High
PRJ2028-110,COMP83161,PROJ5531,ORG21341,,LVL1,IT Infrastructure,Network Troubleshooting & Support,,,,Small Business,,10/11/2023,ACC415,SUP9723,,,,,,,,Boone-Cunningham,SUP3465,Brenda Stevens,PM2631,Michael Burgess,,,,,31835,,,Low,Italy,New Robertborough,In Progress,High
PRJ2023-497,COMP10576,PROJ2142,ORG86743,,LVL3,IT Infrastructure,Database Migration,,,,Enterprise,20/01/2024,07/05/2023,ACC130,SUP2243,,,,,,,,Booker-Phillips,SUP6668,Frank Kennedy,PM5002,Michael Boyd,,,,,33612,,27/01/2024,Medium,Brazil,Johnsonborough,In Progress,High
PRJ2024-778,COMP75594,PROJ9585,ORG44500,,LVL1,IT Consulting,CRM Implementation,,,,Enterprise,13/03/2024,17/04/2022,ACC925,SUP2469,,,,,,,,Rogers-Obrien,SUP6931,Patrick Wright,PM7598,Christine Kennedy,,,,,40805,,04/04/2024,Low,France,Moorefort,Completed,Medium
PRJ2028-842,COMP46250,PROJ9867,ORG82495,,LVL3,Software Development,IT Audit and Compliance,,,,Small Business,05/03/2024,26/06/2023,ACC595,SUP9070,,,,,,,,"Weaver, Walker and Harrington",SUP1315,Patricia Garcia,PM9152,Courtney Wilson,,,,,40405,,20/03/2024,Low,Canada,Keithmouth,Completed,High
PRJ2021-522,COMP41803,PROJ7721,ORG78186,,LVL3,Software Development,Cloud Security Optimization,,,,Small Business,09/11/2024,24/10/2022,ACC946,SUP1119,,,,,,,,"Jenkins, Davis and Jones",SUP2981,Donald Aguirre,PM5268,Patricia Johnson,,,,,44966,,30/11/2024,High,Germany,Tatemouth,In Progress,High
PRJ2026-517,COMP90192,PROJ5430,ORG58307,,LVL3,Software Development,Infrastructure Upgrade,,,,Enterprise,05/04/2027,29/08/2024,ACC975,SUP5891,,,,,,,,Wood Inc,SUP5701,Teresa Kennedy,PM6856,James Tucker,,,,,31448,,30/04/2027,Medium,UK,West Michael,In Progress,High
PRJ2027-274,COMP95742,PROJ1070,ORG64233,,LVL2,IT Infrastructure,Database Migration,,,,Small Business,03/10/2024,24/04/2023,ACC465,SUP7563,,,,,,,,"Roberts, Nicholson and Douglas",SUP6425,Andrew Shields,PM2688,Logan Moreno,,,,,36054,,26/10/2024,Low,France,Lawsonfort,Completed,High
PRJ2027-600,COMP77025,PROJ6054,ORG88024,,LVL3,IT Infrastructure,Cloud Security Optimization,,,,Enterprise,01/08/2023,21/01/2022,ACC781,SUP3214,,,,,,,,Roberts Ltd,SUP1273,Amy Carpenter,PM7300,Jennifer Camacho,,,,,11459,,02/08/2023,Medium,Germany,Lake Michelleberg,In Progress,Low
PRJ2025-922,COMP19245,PROJ2426,ORG50279,,LVL1,IT Consulting,E-commerce Platform Integration,,,,Small Business,05/09/2023,05/11/2022,ACC115,SUP7621,,,,,,,,Graham Group,SUP1730,Sherri Chapman,PM5794,Michael Shaw,,,,,34139,,16/09/2023,Low,USA,Davisport,Completed,Medium
PRJ2025-456,COMP13936,PROJ4255,ORG20796,,LVL3,IT Consulting,Client Portal Revamp,,,,Small Business,16/07/2026,15/02/2024,ACC437,SUP2636,,,,,,,,Barry Inc,SUP4815,George Johnson,PM9839,Timothy Parsons,,,,,32541,,03/08/2026,Low,Italy,Brownstad,In Progress,Medium
PRJ2023-173,COMP79723,PROJ8133,ORG37257,,LVL2,Software Development,IT Audit and Compliance,,,,Small Business,31/10/2023,05/05/2022,ACC380,SUP3365,,,,,,,,"White, Reilly and Matthews",SUP2393,Pamela Peterson,PM4175,Lauren Brown,,,,,49230,,26/11/2023,High,Germany,Jacquelineside,Completed,High
PRJ2025-190,COMP66672,PROJ4873,ORG70945,,LVL1,Software Development,Client Portal Revamp,,,,Small Business,11/02/2025,10/05/2023,ACC839,SUP2289,,,,,,,,Williams-Johnson,SUP4239,Mary Johnson,PM4802,Joe Martin,,,,,28317,,20/02/2025,Low,Germany,Ruthville,Completed,Medium
PRJ2021-287,COMP92674,PROJ8345,ORG91872,,LVL3,Software Development,Network Troubleshooting & Support,,,,Enterprise,04/11/2022,03/03/2021,ACC765,SUP1984,,,,,,,,"Green, Tanner and Gregory",SUP6708,Denise Hood,PM3572,Keith Greer,,,,,38675,,10/11/2022,Medium,USA,East Josephfort,In Progress,Low
PRJ2028-857,COMP70500,PROJ6606,ORG94857,,LVL2,IT Infrastructure,Mobile App Development,,,,Small Business,,02/07/2024,ACC277,SUP5361,,,,,,,,Dominguez Inc,SUP1975,Cheryl Barnett,PM7952,Rachel Reyes,,,,,17743,,,Medium,UK,Port Gregoryfurt,In Progress,Low
PRJ2026-607,COMP64356,PROJ3603,ORG50838,,LVL1,IT Infrastructure,IT Audit and Compliance,,,,Small Business,05/08/2024,25/01/2022,ACC284,SUP3111,,,,,,,,"Cain, Bernard and Osborn",SUP6167,Sarah Bonilla,PM5631,Brent Nichols,,,,,19718,,28/08/2024,Medium,France,Emilybury,Completed,Low
PRJ2022-535,COMP76652,PROJ2260,ORG67770,,LVL3,IT Consulting,Client Portal Revamp,,,,Small Business,27/02/2024,18/06/2023,ACC958,SUP6799,,,,,,,,Fitzgerald-Jensen,SUP4913,Colleen Burton,PM8503,Charles Hall,,,,,33518,,06/03/2024,Medium,Italy,Smithburgh,In Progress,Medium
PRJ2028-471,COMP18169,PROJ2228,ORG99361,,LVL1,IT Infrastructure,Web Application Development,,,,Small Business,30/08/2025,12/03/2023,ACC114,SUP2307,,,,,,,,Allen-Charles,SUP7477,Raymond Henry,PM7393,Robert Arellano,,,,,22412,,14/09/2025,Low,Brazil,Fisherton,In Progress,Low
PRJ2024-253,COMP39625,PROJ8046,ORG92718,,LVL3,IT Consulting,Data Analytics Platform Implementation,,,,Small Business,01/06/2025,16/05/2023,ACC822,SUP6739,,,,,,,,Johnson and Sons,SUP3789,John Allen,PM4004,David Carter,,,,,23735,,17/06/2025,Medium,UK,Cookburgh,In Progress,Low
PRJ2021-146,COMP62179,PROJ8508,ORG28197,,LVL3,IT Consulting,Cloud Security Optimization,,,,Enterprise,24/12/2024,07/10/2022,ACC795,SUP6222,,,,,,,,Lynn-Lee,SUP5084,Colton Johnson,PM6519,Jeffrey Anthony,,,,,49145,,19/01/2025,Medium,UK,Port Christina,In Progress,Medium
PRJ2026-726,COMP75022,PROJ9175,ORG22932,,LVL3,IT Infrastructure,Client Portal Revamp,,,,Small Business,16/12/2025,20/08/2023,ACC798,SUP1674,,,,,,,,Bennett-Williams,SUP4150,Natasha Jones,PM6704,Sara Myers MD,,,,,49318,,21/12/2025,Low,France,Hernandezchester,In Progress,High
PRJ2022-624,COMP88212,PROJ3195,ORG45351,,LVL2,Software Development,IT Audit and Compliance,,,,Enterprise,29/08/2021,01/04/2021,ACC473,SUP1077,,,,,,,,Camacho PLC,SUP8685,Tracy Armstrong,PM2155,Anthony Peterson,,,,,45689,,21/09/2021,Medium,Italy,Bairdberg,In Progress,Low
PRJ2024-550,COMP60932,PROJ8045,ORG67514,,LVL2,IT Consulting,Data Analytics Platform Implementation,,,,Small Business,,06/03/2022,ACC395,SUP5555,,,,,,,,Rice Inc,SUP4062,Kathleen Pierce,PM8391,Nicole Ortega,,,,,33630,,,Medium,Canada,Kimberlyland,Completed,High
PRJ2025-134,COMP78482,PROJ1490,ORG80626,,LVL1,IT Infrastructure,Database Migration,,,,Enterprise,26/06/2025,22/02/2023,ACC462,SUP6106,,,,,,,,Malone-Mills,SUP2418,Sarah Young,PM3508,Katherine Stewart,,,,,21852,,21/07/2025,Medium,Canada,Gregoryview,Completed,Low
PRJ2024-844,COMP84758,PROJ4050,ORG27119,,LVL2,Software Development,Client Portal Revamp,,,,Enterprise,13/07/2024,05/12/2023,ACC697,SUP1574,,,,,,,,"Henry, Vazquez and Vasquez",SUP2515,Joel Collier,PM6007,Jason Morgan,,,,,20273,,11/08/2024,High,Australia,Coreytown,Completed,Low
PRJ2023-545,COMP99064,PROJ9983,ORG36103,,LVL3,Software Development,IT Audit and Compliance,,,,Small Business,27/03/2023,07/07/2021,ACC729,SUP9362,,,,,,,,"Martin, Wilkerson and Davis",SUP5306,Katherine Kent,PM7406,Rodney Ewing,,,,,26910,,08/04/2023,Medium,UK,Port Ericfurt,Completed,High
PRJ2021-427,COMP33285,PROJ4856,ORG73017,,LVL1,IT Consulting,Database Migration,,,,Enterprise,22/08/2023,30/05/2022,ACC852,SUP3037,,,,,,,,Wu-Jackson,SUP2005,Isabella Ibarra,PM3007,Richard Suarez,,,,,15110,,28/08/2023,High,Japan,Whitemouth,In Progress,Low
PRJ2025-976,COMP18084,PROJ1427,ORG74697,,LVL1,IT Infrastructure,CRM Implementation,,,,Enterprise,29/12/2025,06/08/2023,ACC578,SUP1874,,,,,,,,Duncan LLC,SUP7944,Ryan Thompson,PM6751,Andrew Snyder,,,,,18341,,20/01/2026,High,Japan,Carolynhaven,In Progress,Low
PRJ2025-884,COMP38949,PROJ2051,ORG31106,,LVL2,IT Infrastructure,Managed Helpdesk Services,,,,Enterprise,16/09/2026,24/02/2024,ACC814,SUP1230,,,,,,,,Murray-Smith,SUP9025,Zachary Jackson,PM3715,Nathaniel Dalton,,,,,27425,,24/09/2026,High,USA,Port Meghanchester,Completed,Low
PRJ2022-953,COMP45536,PROJ6770,ORG77121,,LVL2,Software Development,Data Analytics Platform Implementation,,,,Enterprise,01/10/2024,24/01/2024,ACC518,SUP3526,,,,,,,,Russell PLC,SUP5677,Richard Flores,PM5863,Sandra Scott,,,,,45585,,05/10/2024,High,Spain,Parkerburgh,In Progress,Low
PRJ2025-827,COMP40568,PROJ2807,ORG15296,,LVL1,Software Development,Cloud Security Optimization,,,,Small Business,15/03/2024,13/05/2023,ACC939,SUP1448,,,,,,,,Rodriguez-Harrison,SUP2604,Ashley Boyd,PM2919,Michelle Mata,,,,,43176,,16/03/2024,Medium,Italy,South Bethany,In Progress,Medium
PRJ2028-896,COMP48768,PROJ9842,ORG62259,,LVL1,IT Infrastructure,Cloud Security Optimization,,,,Enterprise,18/07/2024,31/08/2022,ACC820,SUP3940,,,,,,,,Mccoy-Jackson,SUP5864,Jeffery Jones,PM3135,Cody Carter,,,,,22069,,01/08/2024,Low,Japan,Meghanview,Completed,High
PRJ2022-660,COMP13010,PROJ8918,ORG86799,,LVL2,Software Development,Network Troubleshooting & Support,,,,Small Business,24/12/2023,20/11/2022,ACC105,SUP3805,,,,,,,,Watkins PLC,SUP6510,Joseph Wilson,PM3707,Richard Dunn,,,,,44812,,29/12/2023,High,Italy,North Samantha,Completed,Low
PRJ2026-517,COMP72975,PROJ2432,ORG54074,,LVL1,IT Infrastructure,Data Analytics Platform Implementation,,,,Enterprise,16/05/2025,25/07/2023,ACC431,SUP6499,,,,,,,,"Butler, Marshall and Barnes",SUP4479,Melissa Taylor,PM5144,Alexandra Randall,,,,,16360,,07/06/2025,Medium,France,Linland,Completed,Low
PRJ2022-131,COMP98287,PROJ4205,ORG84958,,LVL3,Software Development,Infrastructure Upgrade,,,,Enterprise,28/05/2025,04/10/2024,ACC667,SUP4721,,,,,,,,"Williams, Miller and Haas",SUP2572,Eric Matthews,PM2689,Nathaniel Garcia,,,,,15621,,03/06/2025,Low,USA,Sullivanfurt,In Progress,High
PRJ2027-180,COMP47992,PROJ6694,ORG40709,,LVL1,Software Development,Client Portal Revamp,,,,Enterprise,25/10/2022,12/09/2022,ACC814,SUP4306,,,,,,,,Crawford PLC,SUP5093,Hector Zamora,PM7425,Anthony Howell,,,,,28230,,19/11/2022,Low,France,Brownchester,In Progress,High
PRJ2024-972,COMP47143,PROJ2124,ORG36563,,LVL2,IT Infrastructure,Database Migration,,,,Enterprise,,13/02/2022,ACC543,SUP5081,,,,,,,,Morales Ltd,SUP9446,Luis Maxwell,PM7687,Jeffery Leon,,,,,34466,,,Medium,Germany,Jamesburgh,In Progress,High
PRJ2027-522,COMP60207,PROJ2158,ORG29556,,LVL1,IT Infrastructure,E-commerce Platform Integration,,,,Enterprise,06/01/2022,28/01/2022,ACC473,SUP1710,,,,,,,,Sullivan PLC,SUP5498,Ethan Clark,PM5299,Jacob Dickson,,,,,22567,,08/01/2022,Low,USA,Millerhaven,Completed,High
PRJ2028-115,COMP13370,PROJ1808,ORG26120,,LVL3,IT Infrastructure,Managed Helpdesk Services,,,,Small Business,23/07/2025,22/02/2024,ACC128,SUP7348,,,,,,,,"Hood, Green and Baxter",SUP6776,Jennifer Morgan,PM6594,Nicole Morales,,,,,40784,,20/08/2025,Medium,UK,South Dennis,In Progress,Medium
PRJ2026-603,COMP14312,PROJ2258,ORG79746,,LVL3,IT Consulting,Network Troubleshooting & Support,,,,Small Business,22/12/2023,23/10/2021,ACC427,SUP6444,,,,,,,,Wright and Sons,SUP2364,Melissa Jones,PM2494,Donald Mclaughlin,,,,,40942,,31/12/2023,High,Brazil,Townsendton,Completed,High
PRJ2023-741,COMP25358,PROJ9122,ORG98313,,LVL3,IT Infrastructure,Network Troubleshooting & Support,,,,Enterprise,18/09/2024,20/08/2022,ACC376,SUP7648,,,,,,,,"Smith, Vargas and Thompson",SUP7078,Robert Roberts,PM8780,Brandon King,,,,,41670,,02/10/2024,High,Brazil,Duaneview,Completed,Medium
PRJ2022-672,COMP95573,PROJ1616,ORG48425,,LVL2,IT Infrastructure,Data Analytics Platform Implementation,,,,Small Business,,11/09/2022,ACC858,SUP1108,,,,,,,,Patel PLC,SUP9632,Brenda Johnson,PM8772,Jerry Dawson,,,,,15604,,,Low,Brazil,Mcculloughchester,In Progress,Low
PRJ2023-454,COMP96189,PROJ4830,ORG12897,,LVL1,IT Consulting,Database Migration,,,,Enterprise,14/07/2022,01/01/2022,ACC622,SUP4847,,,,,,,,Baker-Reed,SUP8374,Crystal Smith,PM3759,Maria Smith,,,,,24292,,13/08/2022,Low,USA,Port Jonathan,In Progress,Low
PRJ2025-200,COMP91092,PROJ6661,ORG57223,,LVL3,Software Development,CRM Implementation,,,,Small Business,13/07/2026,03/03/2024,ACC648,SUP4066,,,,,,,,Rodriguez-Clark,SUP5882,Miss April Cooper,PM4898,Jose Kelly,,,,,33314,,06/08/2026,Medium,Canada,Snyderstad,In Progress,Medium
PRJ2026-367,COMP48613,PROJ8250,ORG92779,,LVL3,IT Consulting,Infrastructure Upgrade,,,,Small Business,13/05/2025,18/01/2023,ACC255,SUP2157,,,,,,,,Odom-Allen,SUP6127,Jonathan Moore,PM7504,Corey Clark,,,,,41977,,22/05/2025,Low,Canada,Davidburgh,Completed,Low
PRJ2024-114,COMP95855,PROJ8678,ORG40740,,LVL3,IT Infrastructure,Managed Helpdesk Services,,,,Enterprise,25/12/2025,15/01/2024,ACC628,SUP8331,,,,,,,,"Johnson, Sanchez and Francis",SUP6176,Joseph Burton,PM6786,Mr. Raymond Sharp,,,,,22162,,01/01/2026,High,Italy,Donnabury,Completed,High
PRJ2021-253,COMP25012,PROJ8611,ORG89067,,LVL1,Software Development,CRM Implementation,,,,Small Business,03/09/2024,20/02/2022,ACC525,SUP2397,,,,,,,,Garrett Ltd,SUP3752,Shannon Jacobs,PM6505,Abigail Goodman,,,,,32041,,14/09/2024,High,Spain,Stephensmouth,In Progress,Low
PRJ2025-691,COMP33943,PROJ4829,ORG62991,,LVL3,Software Development,Data Analytics Platform Implementation,,,,Enterprise,26/02/2022,27/02/2021,ACC188,SUP6636,,,,,,,,Smith-Fox,SUP8436,Charles Cook,PM5244,Alexa Smith,,,,,46037,,26/03/2022,Medium,France,New Aliciatown,In Progress,Low
PRJ2026-695,COMP86757,PROJ1787,ORG27026,,LVL1,Software Development,Mobile App Development,,,,Small Business,23/09/2023,24/06/2021,ACC260,SUP1807,,,,,,,,Gardner-Moss,SUP5139,Heather Green,PM3601,Mike Wise,,,,,14703,,25/09/2023,High,Japan,Finleyview,In Progress,Medium
PRJ2022-542,COMP18478,PROJ1814,ORG60676,,LVL1,IT Infrastructure,Client Portal Revamp,,,,Small Business,,13/01/2023,ACC218,SUP1717,,,,,,,,"Thomas, Schwartz and Miller",SUP2812,Stephen Nicholson,PM3937,Jason Martin,,,,,15910,,,Low,Spain,West Andreastad,Completed,High
PRJ2028-505,COMP79839,PROJ1534,ORG19946,,LVL3,Software Development,Mobile App Development,,,,Enterprise,23/05/2027,09/11/2024,ACC695,SUP8618,,,,,,,,Williamson-Hughes,SUP1570,Gregg Terry,PM5467,Jessica Peterson,,,,,43862,,23/05/2027,Medium,Italy,Jessicaborough,Completed,Medium
PRJ2023-580,COMP54886,PROJ8386,ORG65053,,LVL2,Software Development,Infrastructure Upgrade,,,,Enterprise,,18/10/2023,ACC406,SUP9654,,,,,,,,"Tyler, Hicks and Reed",SUP1065,John Ford,PM8382,Nathan Howell,,,,,49171,,,Low,Spain,Port Kennethville,In Progress,High
PRJ2026-562,COMP11103,PROJ5623,ORG48378,,LVL3,IT Consulting,Web Application Development,,,,Enterprise,,21/01/2021,ACC781,SUP2988,,,,,,,,"Hayes, Mendez and Weber",SUP9871,Jeffrey Martinez,PM9620,Mary Thomas,,,,,31789,,,Medium,Brazil,South Theodore,Completed,Medium
PRJ2021-466,COMP92150,PROJ5650,ORG81623,,LVL1,Software Development,Client Portal Revamp,,,,Enterprise,18/03/2022,14/04/2021,ACC171,SUP1714,,,,,,,,Price Ltd,SUP5309,Anne Schmidt,PM4498,Michael Clay,,,,,28221,,01/04/2022,High,Japan,East Ryan,In Progress,High
PRJ2023-839,COMP14722,PROJ4081,ORG82020,,LVL3,IT Consulting,Cloud Security Optimization,,,,Enterprise,05/07/2023,21/05/2022,ACC881,SUP5134,,,,,,,,Martinez-Hill,SUP8172,Roberto Ashley,PM2125,Ashley Valencia,,,,,36044,,23/07/2023,Low,UK,New Ryan,Completed,Low
PRJ2027-359,COMP38282,PROJ1236,ORG26222,,LVL1,IT Consulting,Web Application Development,,,,Small Business,20/04/2025,26/09/2024,ACC101,SUP5974,,,,,,,,"Villarreal, Fitzgerald and Smith",SUP9193,Angel Krause,PM8003,Katherine Dennis,,,,,30452,,20/04/2025,Medium,USA,Brookstown,In Progress,Medium
